25
1965,76,50,50,4,4,1,1,10,25,25,40,0,6
1965,76,100,100,4,4,-1,1,10,25,25,40,0,6
1965,76,50,50,4,4,1,1,10,25,25,80,0,6
1965,76,100,100,4,4,-1,1,10,25,25,80,0,6
646,1101,0,0,0,0,0,0,2,54,300,0,0,4
457,188,0,0,0,0,0,0,2,54,300,0,0,4
687,188,0,0,0,0,0,0,2,54,300,0,0,4
274,733,366,0,1,0,1,0,1,20,20,50,0,2
274,733,366,0,1,0,1,0,1,20,20,80,0,2
274,733,366,0,1,0,1,0,1,20,20,110,0,2
274,733,366,0,1,0,1,0,1,20,20,230,0,2
274,733,366,0,1,0,1,0,1,20,20,260,0,2
274,733,366,0,1,0,1,0,1,20,20,290,0,2
103,728,0,366,0,1,0,-1,1,20,20,50,0,2
103,728,0,366,0,1,0,-1,1,20,20,80,0,2
103,728,0,366,0,1,0,-1,1,20,20,110,0,2
103,728,0,366,0,1,0,-1,1,20,20,230,0,2
103,728,0,366,0,1,0,-1,1,20,20,260,0,2
103,728,0,366,0,1,0,-1,1,20,20,290,0,2
241,238,0,366,0,1,0,1,1,20,20,50,0,2
241,238,0,366,0,1,0,1,1,20,20,80,0,2
241,238,0,366,0,1,0,1,1,20,20,110,0,2
241,238,0,366,0,1,0,1,1,20,20,230,0,2
241,238,0,366,0,1,0,1,1,20,20,260,0,2
241,238,0,366,0,1,0,1,1,20,20,290,0,2
